No.,Date and time,FORCE [none] (32),Max [none] (28),TORQE [NM] (11),TRAVEL [M] (3),TURN [pulses] (4),PIPE No [none] (15)
91,2017-10-11 11:13:18.1,244,4.984,0,2.021,721,2
92,2017-10-11 11:13:23.1,243.8,5.078,0,2.115,752,2
93,2017-10-11 11:13:28.1,244,5.163,0,2.2,776,2
94,2017-10-11 11:13:33.1,243.7,5.241,0,2.278,808,2
95,2017-10-11 11:13:38.1,244,5.345,0,2.382,842,2
96,2017-10-11 11:13:43.1,244,5.457,0,2.494,874,2
97,2017-10-11 11:13:48.1,243.8,5.572,0,2.609,905,2
98,2017-10-11 11:13:53.1,243.7,5.7,0,2.737,937,2
99,2017-10-11 11:13:58.1,244.2,5.798,0,2.835,968,2
100,2017-10-11 11:14:03.1,243.5,5.904,0,2.941,999,2
101,2017-10-11 11:14:08.1,243.7,5.993,0,3.03,1031,2
102,2017-10-11 11:14:13.1,243.8,6.038,0,3.075,1061,2
