No.,Date and time,Pressure [BAR] (1),TOUGH SONIC [mm] (2)
138,2017-09-19 15:59:52.4,38.43,312
139,2017-09-19 15:59:53.4,38.43,312
140,2017-09-19 15:59:54.4,38.4,312
141,2017-09-19 15:59:55.4,38.42,312
142,2017-09-19 15:59:56.4,38.42,312
143,2017-09-19 15:59:57.4,38.44,312
144,2017-09-19 15:59:58.4,38.43,313
145,2017-09-19 15:59:59.4,38.43,314
146,2017-09-19 16:00:00.4,38.43,312
147,2017-09-19 16:00:01.4,38.42,312
148,2017-09-19 16:00:02.4,38.42,312
149,2017-09-19 16:00:03.4,38.42,312
150,2017-09-19 16:00:04.4,38.4,312
151,2017-09-19 16:00:05.4,38.42,312
152,2017-09-19 16:00:06.4,38.42,312
153,2017-09-19 16:00:07.3,38.38,312
154,2017-09-19 16:00:08.3,38.4,312
155,2017-09-19 16:00:09.3,38.4,312
156,2017-09-19 16:00:10.3,38.42,312
157,2017-09-19 16:00:11.3,38.4,312
158,2017-09-19 16:00:12.3,38.44,312
159,2017-09-19 16:00:13.3,38.38,312
160,2017-09-19 16:00:14.3,38.4,312
161,2017-09-19 16:00:15.3,38.42,312
162,2017-09-19 16:00:16.3,38.4,312
163,2017-09-19 16:00:17.3,38.4,312
164,2017-09-19 16:00:18.3,38.42,312
165,2017-09-19 16:00:19.3,38.42,312
166,2017-09-19 16:00:20.3,38.42,312
167,2017-09-19 16:00:21.3,38.42,312
168,2017-09-19 16:00:22.3,38.4,312
169,2017-09-19 16:00:23.3,38.39,312
170,2017-09-19 16:00:24.3,38.36,312
171,2017-09-19 16:00:25.3,38.42,312
172,2017-09-19 16:00:26.3,38.38,314
173,2017-09-19 16:00:27.3,38.4,300
174,2017-09-19 16:00:28.3,38.42,2215
175,2017-09-19 16:00:29.3,38.4,1785
176,2017-09-19 16:00:30.3,38.42,1796
177,2017-09-19 16:00:31.3,38.45,2661
178,2017-09-19 16:00:32.3,38.43,1652
179,2017-09-19 16:00:33.3,38.4,4064
180,2017-09-19 16:00:34.3,38.4,1141
181,2017-09-19 16:00:35.3,38.42,1142
182,2017-09-19 16:00:36.3,38.42,1150
183,2017-09-19 16:00:37.4,38.4,2412
184,2017-09-19 16:00:38.4,38.4,3107
185,2017-09-19 16:00:39.4,38.44,1712
186,2017-09-19 16:00:40.4,38.45,2140
187,2017-09-19 16:00:41.4,38.4,2650
188,2017-09-19 16:00:42.4,38.39,2103
189,2017-09-19 16:00:43.4,38.42,3031
190,2017-09-19 16:00:44.4,38.38,4365
191,2017-09-19 16:00:45.4,38.4,331
192,2017-09-19 16:00:46.4,38.38,310
193,2017-09-19 16:00:47.4,38.4,309
194,2017-09-19 16:00:48.4,38.38,311
195,2017-09-19 16:00:49.4,38.38,309
196,2017-09-19 16:00:50.4,38.38,309
197,2017-09-19 16:00:51.4,38.42,309
198,2017-09-19 16:00:52.4,38.38,309
199,2017-09-19 16:00:53.4,38.38,309
200,2017-09-19 16:00:54.4,38.4,309
201,2017-09-19 16:00:55.4,38.42,309
202,2017-09-19 16:00:56.4,38.38,309
203,2017-09-19 16:00:57.4,38.4,309
204,2017-09-19 16:00:58.4,38.4,309
205,2017-09-19 16:00:59.4,38.38,311
206,2017-09-19 16:01:00.4,38.42,309
207,2017-09-19 16:01:01.4,38.36,311
208,2017-09-19 16:01:02.4,38.39,311
209,2017-09-19 16:01:03.4,38.44,311
210,2017-09-19 16:01:04.4,38.45,309
211,2017-09-19 16:01:05.4,38.45,309
212,2017-09-19 16:01:06.4,38.42,311
213,2017-09-19 16:01:07.4,38.4,309
214,2017-09-19 16:01:08.4,38.38,309
215,2017-09-19 16:01:09.4,38.4,309
216,2017-09-19 16:01:10.4,38.47,311
217,2017-09-19 16:01:11.4,38.47,309
218,2017-09-19 16:01:12.4,38.4,309
219,2017-09-19 16:01:13.4,38.42,309
220,2017-09-19 16:01:14.4,38.48,311
221,2017-09-19 16:01:15.4,38.47,309
222,2017-09-19 16:01:16.4,38.4,309
223,2017-09-19 16:01:17.4,38.45,309
224,2017-09-19 16:01:18.4,38.4,309
225,2017-09-19 16:01:19.4,38.41,309
226,2017-09-19 16:01:20.4,38.5,309
227,2017-09-19 16:01:21.4,38.46,311
228,2017-09-19 16:01:22.4,38.4,311
229,2017-09-19 16:01:23.4,38.41,309
230,2017-09-19 16:01:24.4,38.44,309
231,2017-09-19 16:01:25.4,38.36,310
232,2017-09-19 16:01:26.4,38.45,309
233,2017-09-19 16:01:27.4,38.41,311
234,2017-09-19 16:01:28.4,38.38,309
235,2017-09-19 16:01:29.4,38.41,309
236,2017-09-19 16:01:30.4,38.43,309
237,2017-09-19 16:01:31.4,38.45,311
238,2017-09-19 16:01:32.4,38.33,311
239,2017-09-19 16:01:33.4,38.35,309
240,2017-09-19 16:01:34.4,38.42,309
241,2017-09-19 16:01:35.4,38.4,311
242,2017-09-19 16:01:36.4,38.4,311
243,2017-09-19 16:01:37.4,38.35,311
244,2017-09-19 16:01:38.4,38.33,309
245,2017-09-19 16:01:39.4,38.37,309
246,2017-09-19 16:11:45.6,-33.38,310
247,2017-09-19 16:11:46.6,-33.5,309
248,2017-09-19 16:11:47.6,-33.25,309
249,2017-09-19 16:11:48.6,-33.35,311
250,2017-09-19 16:11:49.6,-33.55,311
251,2017-09-19 16:11:50.6,-33.28,311
252,2017-09-19 16:11:51.6,-33.42,309
253,2017-09-19 16:11:52.6,-33.42,311
254,2017-09-19 16:11:53.6,-33.47,311
255,2017-09-19 16:11:54.6,-33.57,311
256,2017-09-19 16:11:55.6,-33.28,4541
257,2017-09-19 16:11:56.6,-33,1817
258,2017-09-19 16:11:57.6,-33.36,1835
259,2017-09-19 16:11:58.6,-33.42,1838
260,2017-09-19 16:11:59.6,-33,1835
261,2017-09-19 16:12:00.6,-33.47,1834
262,2017-09-19 16:12:01.6,-33.35,1837
263,2017-09-19 16:12:02.6,-32.51,1839
264,2017-09-19 16:12:03.6,-33.52,1838
265,2017-09-19 16:12:04.6,-33.42,1834
266,2017-09-19 16:12:05.6,-33.15,1834
267,2017-09-19 16:12:06.6,-33.4,1837
268,2017-09-19 16:12:07.6,-33.2,1835
269,2017-09-19 16:12:08.6,-33.4,2004
270,2017-09-19 16:12:09.6,-33.5,2006
271,2017-09-19 16:12:10.6,-33.35,2005
272,2017-09-19 16:12:11.6,-33.13,2004
273,2017-09-19 16:12:12.6,-33.08,2007
274,2017-09-19 16:12:13.6,-33.3,2008
275,2017-09-19 16:12:14.6,-33.13,2911
276,2017-09-19 16:12:15.7,-32.94,3776
277,2017-09-19 16:12:16.7,-33.46,1965
278,2017-09-19 16:12:17.7,-32.92,1992
279,2017-09-19 16:12:18.7,-32.87,1989
280,2017-09-19 16:12:19.7,-33.41,1987
281,2017-09-19 16:12:20.7,-33.45,1990
282,2017-09-19 16:12:21.7,-33.48,1989
283,2017-09-19 16:12:22.7,-33.5,1991
284,2017-09-19 16:12:23.7,-33.46,1992
285,2017-09-19 16:12:24.7,-33.04,1998
286,2017-09-19 16:12:25.7,-33.29,1999
287,2017-09-19 16:12:26.7,-33.49,1995
288,2017-09-19 16:12:27.7,-33.36,1993
289,2017-09-19 16:12:28.7,-33.55,1995
290,2017-09-19 16:12:29.7,-33.08,2001
291,2017-09-19 16:12:30.7,-33.17,1996
292,2017-09-19 16:12:31.7,-33.15,1995
293,2017-09-19 16:12:32.7,-33.4,1993
294,2017-09-19 16:12:33.7,-33.15,1996
295,2017-09-19 16:12:34.7,-33.55,1998
296,2017-09-19 16:12:35.7,-33.4,1993
297,2017-09-19 16:12:36.7,-33.52,1999
298,2017-09-19 16:12:37.7,-32.81,1995
299,2017-09-19 16:12:38.7,-33.06,1992
300,2017-09-19 16:12:39.7,-33.05,1993
301,2017-09-19 16:12:40.7,-32.96,1994
302,2017-09-19 16:12:41.7,-33.47,1993
303,2017-09-19 16:12:42.7,-33.03,1993
304,2017-09-19 16:12:43.7,-33.06,1997
305,2017-09-19 16:12:44.7,-33.18,1995
306,2017-09-19 16:12:45.7,-33.44,1997
307,2017-09-19 16:12:46.7,-33.35,1995
308,2017-09-19 16:12:47.7,-33.08,1999
309,2017-09-19 16:12:48.7,-33.24,1993
310,2017-09-19 16:12:49.7,-33.47,3985
311,2017-09-19 16:12:50.7,-33.2,3511
312,2017-09-19 16:12:51.7,-33.47,2417
313,2017-09-19 16:12:52.7,-33.05,4213
314,2017-09-19 16:12:53.7,-33.37,1988
315,2017-09-19 16:12:54.7,-32.95,1990
316,2017-09-19 16:12:55.7,-33.52,1996
317,2017-09-19 16:12:56.7,-32.98,1992
318,2017-09-19 16:12:57.7,-33.15,1995
319,2017-09-19 16:12:58.7,-33.13,1989
320,2017-09-19 16:12:59.7,-33.46,1993
321,2017-09-19 16:13:00.7,-33.37,1995
322,2017-09-19 16:13:01.7,-32.98,3880
323,2017-09-19 16:13:02.7,-33.41,2876
324,2017-09-19 16:13:03.7,-32.75,2934
325,2017-09-19 16:13:04.7,-33.4,2941
326,2017-09-19 16:13:05.7,-33.3,3791
327,2017-09-19 16:13:06.7,-33.21,3054
328,2017-09-19 16:13:07.7,-33.36,4079
329,2017-09-19 16:13:08.7,-33.46,1998
330,2017-09-19 16:13:09.7,-33.28,1999
331,2017-09-19 16:13:10.7,-33.38,2002
332,2017-09-19 16:13:11.7,-33.44,1999
333,2017-09-19 16:13:12.7,-33.4,2004
334,2017-09-19 16:13:13.7,-33.38,1997
335,2017-09-19 16:13:14.7,-30.85,2001
336,2017-09-19 16:13:15.7,-32.87,2001
337,2017-09-19 16:13:16.7,-29.47,2003
338,2017-09-19 16:13:17.7,-33.35,2001
339,2017-09-19 16:13:18.7,-33.2,2001
340,2017-09-19 16:13:19.7,-33.42,1999
341,2017-09-19 16:13:20.7,-33.56,1999
342,2017-09-19 16:13:21.7,-32.93,2001
343,2017-09-19 16:13:22.7,-33.03,1999
344,2017-09-19 16:13:23.7,-33.45,2002
345,2017-09-19 16:13:24.7,-33.28,1998
346,2017-09-19 16:13:25.7,-33.05,2001
347,2017-09-19 16:13:26.7,-33.4,1998
348,2017-09-19 16:13:27.7,-33.36,2001
349,2017-09-19 16:13:28.7,-33.28,2000
350,2017-09-19 16:13:29.7,-33.4,2000
351,2017-09-19 16:13:30.7,-33.13,2000
352,2017-09-19 16:13:31.7,-33.43,2001
353,2017-09-19 16:13:32.7,-33.26,2000
354,2017-09-19 16:13:33.7,-33.46,2003
355,2017-09-19 16:13:34.7,-33.3,2002
356,2017-09-19 16:13:35.7,-33.2,2003
357,2017-09-19 16:13:36.7,-32.97,2001
358,2017-09-19 16:13:37.7,-32.68,1999
359,2017-09-19 16:13:38.7,-25.35,2017
360,2017-09-19 16:13:39.7,-32.67,2002
361,2017-09-19 16:13:40.7,-33.2,2001
362,2017-09-19 16:13:41.7,-33.03,1999
363,2017-09-19 16:13:42.7,-32.87,2000
364,2017-09-19 16:13:43.7,-33.13,2002
365,2017-09-19 16:13:44.7,-33.2,1999
366,2017-09-19 16:13:45.7,-32.96,1996
367,2017-09-19 16:13:46.7,-33.07,2002
368,2017-09-19 16:13:47.7,-33.08,2002
369,2017-09-19 16:13:48.7,-32.01,1999
370,2017-09-19 16:13:49.7,-30.44,1999
371,2017-09-19 16:13:50.7,-25.02,1998
372,2017-09-19 16:13:51.7,-32.83,2003
373,2017-09-19 16:13:52.7,-33.09,2002
374,2017-09-19 16:13:53.7,-33.28,2002
375,2017-09-19 16:13:54.7,-32.91,2005
376,2017-09-19 16:13:55.7,-31.39,2000
377,2017-09-19 16:13:56.7,-25.34,2002
378,2017-09-19 16:13:57.7,-33.07,2001
379,2017-09-19 16:13:58.7,-33.13,2003
380,2017-09-19 16:13:59.7,-33.01,2003
381,2017-09-19 16:14:00.7,-33.41,2001
382,2017-09-19 16:14:01.7,-28.23,2001
383,2017-09-19 16:14:02.7,-33.17,2001
384,2017-09-19 16:14:03.7,-33.27,4074
385,2017-09-19 16:14:04.7,-33.2,3811
386,2017-09-19 16:14:05.7,-33.13,2987
387,2017-09-19 16:14:06.7,-33.28,1957
388,2017-09-19 16:14:07.7,-33.27,1996
389,2017-09-19 16:14:08.7,-33.23,2001
390,2017-09-19 16:14:09.7,-33.23,2000
391,2017-09-19 16:14:10.7,-33.13,1997
392,2017-09-19 16:14:11.7,-33.02,1998
393,2017-09-19 16:14:12.7,-22.79,2001
394,2017-09-19 16:14:13.7,-32.63,1999
395,2017-09-19 16:14:14.7,-28.69,2003
396,2017-09-19 16:14:15.7,-32.84,2003
397,2017-09-19 16:14:16.7,-33.02,2004
398,2017-09-19 16:14:17.7,-33.09,2001
399,2017-09-19 16:14:18.7,-32.91,2002
400,2017-09-19 16:14:19.7,-33.31,2002
401,2017-09-19 16:14:20.7,-32.72,2003
402,2017-09-19 16:14:21.7,-29.71,2001
403,2017-09-19 16:14:22.7,-33.28,1988
404,2017-09-19 16:14:23.7,-26.58,3262
405,2017-09-19 16:14:24.7,-32.91,3081
406,2017-09-19 16:14:25.7,-33.17,3951
407,2017-09-19 16:14:26.7,-33.13,1988
408,2017-09-19 16:14:27.7,-32.85,1985
409,2017-09-19 16:14:28.7,-32.46,1987
410,2017-09-19 16:14:29.7,-32.88,1989
411,2017-09-19 16:14:30.7,-33.19,1992
412,2017-09-19 16:14:31.7,-33.03,1990
413,2017-09-19 16:14:32.7,-33.1,1998
414,2017-09-19 16:14:33.7,-33.47,1995
415,2017-09-19 16:14:34.7,-32.48,1993
416,2017-09-19 16:14:35.7,-32.17,1995
417,2017-09-19 16:14:36.7,-32.96,1995
418,2017-09-19 16:14:37.7,-33.02,1992
419,2017-09-19 16:14:38.7,-33.27,1993
420,2017-09-19 16:14:39.7,-33.27,1992
421,2017-09-19 16:14:40.7,-33.35,1992
422,2017-09-19 16:14:41.7,-33.32,1989
423,2017-09-19 16:14:42.7,-33.28,1993
424,2017-09-19 16:14:43.7,-33.35,3937
425,2017-09-19 16:14:44.7,-33.36,2398
426,2017-09-19 16:14:45.7,-33.38,2400
