No.,Date and time,FORCE [none] (32),Max [none] (28),TORQE [NM] (11),TRAVEL [M] (3),TURN [pulses] (4),PIPE No [none] (15)
1,2017-10-12 15:19:59.8,118.3,-0.047,0,0.002,0,0
2,2017-10-12 15:22:48.9,116.5,0.056,0,0.058,0,0
3,2017-10-12 15:22:50.9,117,0,0,0.058,1,0
4,2017-10-12 15:22:52.9,117,0,0,0.058,4,0
5,2017-10-12 15:22:54.9,117,0,0,0.058,12,0
6,2017-10-12 15:22:56.9,116.8,0.008,0,0.066,25,0
7,2017-10-12 15:22:58.9,117.2,0.018,0,0.076,34,0
8,2017-10-12 15:23:00.9,116.8,0.026,0,0.084,44,0
9,2017-10-12 15:23:02.9,116.8,0.033,0,0.091,51,0
10,2017-10-12 15:23:04.9,116.8,0.039,0,0.097,61,0
11,2017-10-12 15:23:06.9,116.8,0.045,0,0.103,70,0
12,2017-10-12 15:23:08.9,116.3,0.054,0,0.112,80,0
13,2017-10-12 15:23:10.9,117.2,0.059,0,0.117,90,0
14,2017-10-12 15:23:12.9,117,0.065,0,0.123,101,0
15,2017-10-12 15:23:14.9,117.5,0.073,0,0.131,111,0
16,2017-10-12 15:23:16.9,117.2,0.085,0,0.143,118,0
17,2017-10-12 15:23:19.0,117.5,0.093,0,0.151,127,0
18,2017-10-12 15:23:21.0,117.5,0.104,0,0.162,138,0
19,2017-10-12 15:23:23.0,117,0.117,0,0.175,148,0
20,2017-10-12 15:23:25.0,117.4,0.13,0,0.188,158,0
21,2017-10-12 15:23:27.0,116.8,0.139,0,0.197,168,0
22,2017-10-12 15:23:29.0,117,0.141,0,0.199,176,0
23,2017-10-12 15:23:31.0,117,0.148,0,0.206,181,0
24,2017-10-12 15:23:33.0,117,0.156,0,0.214,190,0
25,2017-10-12 15:23:35.0,117.3,0.164,0,0.222,199,0
26,2017-10-12 15:23:37.0,116.8,0.174,0,0.232,208,0
27,2017-10-12 15:23:39.0,117,0.181,0,0.239,218,0
28,2017-10-12 15:23:41.0,117.2,0.188,0,0.246,228,0
29,2017-10-12 15:23:43.0,117,0.201,0,0.259,237,0
30,2017-10-12 15:23:45.0,117.1,0.213,0,0.271,247,0
31,2017-10-12 15:23:47.0,117.2,0.224,0,0.282,257,0
32,2017-10-12 15:23:49.0,117.2,0.236,0,0.294,267,0
33,2017-10-12 15:23:51.0,117.3,0.243,0,0.301,276,0
34,2017-10-12 15:23:53.0,117.3,0.254,0,0.312,286,0
35,2017-10-12 15:23:55.0,117,0.265,0,0.323,296,0
36,2017-10-12 15:23:57.0,117,0.275,0,0.333,303,0
37,2017-10-12 15:23:59.0,117.2,0.289,0,0.347,312,0
38,2017-10-12 15:24:01.0,117.1,0.3,0,0.358,321,0
39,2017-10-12 15:24:03.0,117,0.31,0,0.368,331,0
40,2017-10-12 15:24:05.0,117.2,0.312,0,0.37,340,0
41,2017-10-12 15:24:07.0,117.2,0.326,0,0.384,350,0
42,2017-10-12 15:24:09.0,116.8,0.338,0,0.396,359,0
43,2017-10-12 15:24:11.0,116.8,0.344,0,0.402,366,0
44,2017-10-12 15:24:13.0,116.8,0.349,0,0.407,366,0
45,2017-10-12 15:24:15.0,116.7,0.349,0,0.407,366,0
46,2017-10-12 15:24:17.0,116.7,0.349,0,0.407,366,0
47,2017-10-12 15:24:19.0,116.5,0.349,0,0.407,366,0
48,2017-10-12 15:24:21.0,116.5,0.349,0,0.407,366,0
49,2017-10-12 15:24:23.0,116.5,0.349,0,0.407,366,0
50,2017-10-12 15:24:25.0,116.4,0.349,0,0.407,366,0
51,2017-10-12 15:24:27.0,116.7,0.349,0,0.407,366,0
52,2017-10-12 15:24:29.0,116.4,0.349,0,0.407,366,0
53,2017-10-12 15:24:31.0,116.7,0.349,0,0.407,366,0
54,2017-10-12 15:24:33.0,116.7,0.349,0,0.407,366,0
55,2017-10-12 15:24:35.0,116.7,0.349,0,0.407,366,0
56,2017-10-12 15:24:37.0,116.7,0.349,0,0.407,366,0
57,2017-10-12 15:24:39.0,116.7,0.349,0,0.407,366,0
